id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/27694560	10.2307/27694560	The Diplomatic History Bandwagon: A State of the Field	Thomas W. Zeiler	The Journal of American History	95	4	2009-03-01T00:00:00Z	pp. 1053-1073	Organization of American Historians	fla			
10.2307/2081005	10.2307/2081005	National Cowboy Hall of Fame Thundering Hooves	John Mack Faragher	The Journal of American History	81	1	1994-06-01T00:00:00Z	pp. 215-220	Organization of American Historians	fla			
10.2307/27694732	10.2307/27694732	Coal-Fired Reforms: Social Citizenship, Dissident Miners, and the Great Society	Robyn Muncy	The Journal of American History	96	1	2009-06-01T00:00:00Z	pp. 72-98	Organization of American Historians	fla			
10.2307/2952905	10.2307/2952905	History in a Grain of Sand: Teaching the Historian's Craft	Marjoleine Kars	The Journal of American History	83	4	1997-03-01T00:00:00Z	pp. 1340-1345	Organization of American Historians	fla			
10.2307/3660176	10.2307/3660176	"I Don't Trust You Anymore": Nina Simone, Culture, and Black Activism in the 1960s	Ruth Feldstein	The Journal of American History	91	4	2005-03-01T00:00:00Z	pp. 1349-1379	Organization of American Historians	fla			
10.2307/4486410	10.2307/4486410	Dorothea Lange: The Photographer as Agricultural Sociologist	Linda Gordon	The Journal of American History	93	3	2006-12-01T00:00:00Z	pp. 698-727	Organization of American Historians	fla			
10.2307/2082191	10.2307/2082191	Oral History and the Story of America and World War II	Roger Horowitz	The Journal of American History	82	2	1995-09-01T00:00:00Z	pp. 617-624	Organization of American Historians	fla			
10.2307/2082184	10.2307/2082184	Tippecanoe and the Ladies, Too: White Women and Party Politics in Antebellum Virginia	Elizabeth R. Varon	The Journal of American History	82	2	1995-09-01T00:00:00Z	pp. 494-521	Organization of American Historians	fla			
10.2307/2952734	10.2307/2952734	"Not Fade Away": The Narrative of Venture Smith, an African American in the Early Republic	Robert E. Desrochers Jr.	The Journal of American History	84	1	1997-06-01T00:00:00Z	pp. 40-66	Organization of American Historians	fla			
10.2307/3662857	10.2307/3662857	"Restless in the Midst of Their Prosperity": New Evidence on the Internal Migration of Americans, 1850-2000	Patricia Kelly Hall, Steven Ruggles	The Journal of American History	91	3	2004-12-01T00:00:00Z	pp. 829-846	Organization of American Historians	fla			
10.2307/2700607	10.2307/2700607	"It Was as If We Were Never There": Recovering Detroit's Past for History and Theater	Charles Bright	The Journal of American History	88	4	2002-03-01T00:00:00Z	pp. 1440-1446	Organization of American Historians	fla			
10.2307/25094779	10.2307/25094779	Worth a Billion Words? Library of Congress Pictures Online	Barbara Orbach Natanson	The Journal of American History	94	1	2007-06-01T00:00:00Z	pp. 99-111	Organization of American Historians	fla			
10.2307/2567223	10.2307/2567223	"Ansel Adams, a Legacy: Masterworks from the Friends of Photography Collection"	David P. Peeler	The Journal of American History	85	3	1998-12-01T00:00:00Z	pp. 1029-1033	Organization of American Historians	fla			
10.2307/4486408	10.2307/4486408	Nuestra América: Latino History as United States History	Vicki L. Ruiz	The Journal of American History	93	3	2006-12-01T00:00:00Z	pp. 655-672	Organization of American Historians	fla			
10.2307/3659969	10.2307/3659969	Midnight Rangers: Costume and Performance in the Reconstruction-Era Ku Klux Klan	Elaine Frantz Parsons	The Journal of American History	92	3	2005-12-01T00:00:00Z	pp. 811-836	Organization of American Historians	fla			
10.2307/2674917	10.2307/2674917	Reading Indians' Deathbed Scenes: Ethnohistorical and Representational Approaches	Erik R. Seeman	The Journal of American History	88	1	2001-06-01T00:00:00Z	pp. 17-47	Organization of American Historians	fla			
10.2307/2080049	10.2307/2080049	Oral History in the Americas	Ivan Jaksic	The Journal of American History	79	2	1992-09-01T00:00:00Z	pp. 590-600	Organization of American Historians	fla			
10.2307/2081444	10.2307/2081444	The Movie Maker as Historian: Conversations with Ken Burns	David Thelen	The Journal of American History	81	3	1994-12-01T00:00:00Z	pp. 1031-1050	Organization of American Historians	fla			
10.2307/41510123	10.2307/41510123	A Response	Kim Phillips-Fein	The Journal of American History	98	3	2011-12-01T00:00:00Z	pp. 771-773	Organization of American Historians	fla			
10.2307/2568263	10.2307/2568263	The Declaration of Independence in Japan: Translation and Transplantation, 1854-1997	Tadashi Aruga	The Journal of American History	85	4	1999-03-01T00:00:00Z	pp. 1409-1431	Organization of American Historians	fla			
10.2307/2568601	10.2307/2568601	The Nation and Beyond: Transnational Perspectives on United States History	David Thelen	The Journal of American History	86	3	1999-12-01T00:00:00Z	pp. 965-975	Organization of American Historians	fla			
10.2307/2080407	10.2307/2080407	The Limits of Politicization in the American Revolution: The Experience of Westchester County, New York	Sung Bok Kim	The Journal of American History	80	3	1993-12-01T00:00:00Z	pp. 868-889	Organization of American Historians	fla			
10.2307/2945115	10.2307/2945115	Museums and Controversy: Some Introductory Reflections	Neil Harris	The Journal of American History	82	3	1995-12-01T00:00:00Z	pp. 1102-1110	Organization of American Historians	fla			
10.2307/2675096	10.2307/2675096	Presidents, Congress, and Courts: Partisan Passions in Motion	Joyce Appleby	The Journal of American History	88	2	2001-09-01T00:00:00Z	pp. 408-414	Organization of American Historians	fla			
10.2307/40661832	10.2307/40661832	Learning about Civil War, Separatism, and Nation Building through Teaching in the Turkish Republic	Tim Roberts	The Journal of American History	96	4	2010-03-01T00:00:00Z	pp. 1119-1122	Organization of American Historians	fla			
10.2307/2567413	10.2307/2567413	Amistad: A True Story of Freedom	Susan D. Pennybacker	The Journal of American History	86	1	1999-06-01T00:00:00Z	pp. 170-173	Organization of American Historians	fla			
10.2307/2945478	10.2307/2945478	Shared Spaces, Separate Lives	Raymond Gavins	The Journal of American History	83	1	1996-06-01T00:00:00Z	pp. 143-148	Organization of American Historians	fla			
10.2307/2953084	10.2307/2953084	Humbug? Bah! Altschuler and Blumin and the Riddle of the Antebellum Electorate	Harry L. Watson	The Journal of American History	84	3	1997-12-01T00:00:00Z	pp. 886-893	Organization of American Historians	fla			
10.2307/4485893	10.2307/4485893	"They Are Ancestral Homelands": Race, Place, and Politics in Cold War Native America, 1945-1961	Paul C. Rosier	The Journal of American History	92	4	2006-03-01T00:00:00Z	pp. 1300-1326	Organization of American Historians	fla			
10.2307/2945118	10.2307/2945118	Hiroshima/Nagasaki as History and Politics	Rinjiro Sodei	The Journal of American History	82	3	1995-12-01T00:00:00Z	pp. 1118-1123	Organization of American Historians	fla			
10.2307/2945112	10.2307/2945112	Academic Freedom in "The Last Act"	Martin Harwit	The Journal of American History	82	3	1995-12-01T00:00:00Z	pp. 1064-1084	Organization of American Historians	fla			
10.2307/3660348	10.2307/3660348	"Mania Americana": Narcotic Addiction and Modernity in the United States, 1870-1920	Timothy A. Hickman	The Journal of American History	90	4	2004-03-01T00:00:00Z	pp. 1269-1294	Organization of American Historians	fla			
10.2307/3660349	10.2307/3660349	Co-Workers in the Kingdom of Culture: Black Swan Records and the Political Economy of African American Music	David Suisman	The Journal of American History	90	4	2004-03-01T00:00:00Z	pp. 1295-1324	Organization of American Historians	fla			
10.2307/41509962	10.2307/41509962	The Cosmic Race in Texas: Racial Fusion, White Supremacy, and Civil Rights Politics	Benjamin H. Johnson	The Journal of American History	98	2	2011-09-01T00:00:00Z	pp. 404-419	Organization of American Historians	fla			
10.2307/2082196	10.2307/2082196	Italian Historians Interpret American History	Rudolph J. Vecoli	The Journal of American History	82	2	1995-09-01T00:00:00Z	pp. 648-650	Organization of American Historians	fla			
10.2307/2080041	10.2307/2080041	Japanese Scholarship and the Meaning of American History	Tadashi Aruga	The Journal of American History	79	2	1992-09-01T00:00:00Z	pp. 504-514	Organization of American Historians	fla			
10.2307/2568261	10.2307/2568261	The Declaration of Independence: A View from Russia	Nikolai N. Bolkhovitinov	The Journal of American History	85	4	1999-03-01T00:00:00Z	pp. 1389-1398	Organization of American Historians	fla			
10.2307/4485888	10.2307/4485888	An Introduction	David Paul Nord	The Journal of American History	92	4	2006-03-01T00:00:00Z	p. 1211	Organization of American Historians	fla			
10.2307/41509572	10.2307/41509572	The Memory Frontier: Uncommon Pursuits of Past and Place in the Northeast after King Philip's War	Christine DeLucia	The Journal of American History	98	4	2012-03-01T00:00:00Z	pp. 975-997	Organization of American Historians	fla			
10.2307/2568763	10.2307/2568763	No Diplomatic Immunity: African Diplomats, the State Department, and Civil Rights, 1961-1964	Renee Romano	The Journal of American History	87	2	2000-09-01T00:00:00Z	pp. 546-579	Organization of American Historians	fla			
10.2307/4486059	10.2307/4486059	Law and Mass Politics in the Making of the Civil Rights Lawyer, 1931-1941	Kenneth W. Mack	The Journal of American History	93	1	2006-06-01T00:00:00Z	pp. 37-62	Organization of American Historians	fla			
10.2307/40959764	10.2307/40959764	Samuel Gridley Howe, the Black Population of Canada West, and the Racial Ideology of the "Blueprint for Radical Reconstruction"	Matthew Furrow	The Journal of American History	97	2	2010-09-01T00:00:00Z	pp. 344-370	Organization of American Historians	fla			
10.2307/25095323	10.2307/25095323	"Not Marriage at All, but Simple Harlotry": The Companionate Marriage Controversy	Rebecca L. Davis	The Journal of American History	94	4	2008-03-01T00:00:00Z	pp. 1137-1163	Organization of American Historians	fla			
10.2307/4486234	10.2307/4486234	Religion as Identity in Postwar America: The Last Serious Attempt to Put a Question on Religion in the United States Census	Kevin M. Schultz	The Journal of American History	93	2	2006-09-01T00:00:00Z	pp. 359-384	Organization of American Historians	fla			
10.2307/41509049	10.2307/41509049	The Trouble with Gay Rights: Race and the Politics of Sexual Orientation in Philadelphia, 1969-1982	Kevin J. Mumford	The Journal of American History	98	1	2011-06-01T00:00:00Z	pp. 49-72	Organization of American Historians	fla			
10.2307/3092543	10.2307/3092543	Black Professionals and Race Consciousness: Origins of the Civil Rights Movement, 1890-1950	Darlene Clark Hine	The Journal of American History	89	4	2003-03-01T00:00:00Z	pp. 1279-1294	Organization of American Historians	fla			
10.2307/2675110	10.2307/2675110	Interviewing Radical Elders	Sandy Polishuk	The Journal of American History	88	2	2001-09-01T00:00:00Z	pp. 608-611	Organization of American Historians	fla			
10.2307/3660172	10.2307/3660172	The Long Civil Rights Movement and the Political Uses of the Past	Jacquelyn Dowd Hall	The Journal of American History	91	4	2005-03-01T00:00:00Z	pp. 1233-1263	Organization of American Historians	fla			
10.2307/3662858	10.2307/3662858	Baptism by Fire: Race, Military Service, and U.S. Citizenship Policy, 1918-1935	Lucy E. Salyer	The Journal of American History	91	3	2004-12-01T00:00:00Z	pp. 847-876	Organization of American Historians	fla			
10.2307/25095134	10.2307/25095134	The Political Construction of a Natural Disaster: The Yellow Fever Epidemic of 1853	Henry M. McKiven, Jr.	The Journal of American History	94	3	2007-12-01T00:00:00Z	pp. 734-742	Organization of American Historians	fla			
10.2307/2080800	10.2307/2080800	Carter's Grove	Mark P. Leone	The Journal of American History	79	3	1992-12-01T00:00:00Z	pp. 1082-1087	Organization of American Historians	fla			
10.2307/2952903	10.2307/2952903	From Hash House to Family Restaurant: The Transformation of the Diner and Post-World War II Consumer Culture	Andrew Hurley	The Journal of American History	83	4	1997-03-01T00:00:00Z	pp. 1282-1308	Organization of American Historians	fla			
10.2307/25095629	10.2307/25095629	Can These Dry Bones Live? An Anthropological Approach to the History of the Senses	David Howes	The Journal of American History	95	2	2008-09-01T00:00:00Z	pp. 442-451	Organization of American Historians	fla			
10.2307/2567749	10.2307/2567749	"A Little Beyond": The Problem of the Transcendentalist Movement in American History	Charles Capper	The Journal of American History	85	2	1998-09-01T00:00:00Z	pp. 502-539	Organization of American Historians	fla			
10.2307/41509054	10.2307/41509054	Is There a "Field"? And if There Isn't, Should We Be Worried about It?	D. J. Mulloy	The Journal of American History	98	1	2011-06-01T00:00:00Z	pp. 111-114	Organization of American Historians	fla			
10.2307/2945306	10.2307/2945306	Substituting Law for the Lash: Emancipation and Legal Formalism in a Mississippi County Court	Christopher Waldrep	The Journal of American History	82	4	1996-03-01T00:00:00Z	pp. 1425-1451	Organization of American Historians	fla			
10.2307/25094959	10.2307/25094959	Market Visions: Expenditure Surveys, Market Research, and Economic Planning in the New Deal	Thomas A. Stapleford	The Journal of American History	94	2	2007-09-01T00:00:00Z	pp. 418-444	Organization of American Historians	fla			
10.2307/27694377	10.2307/27694377	"Becoming International Again": C. Wright Mills and the Emergence of a Global New Left, 1956-1962	Daniel Geary	The Journal of American History	95	3	2008-12-01T00:00:00Z	pp. 710-736	Organization of American Historians	fla			
10.2307/3660878	10.2307/3660878	The Rise and Fall of Plains Indian Horse Cultures	Pekka Hämäläinen	The Journal of American History	90	3	2003-12-01T00:00:00Z	pp. 833-862	Organization of American Historians	fla			
10.2307/2078466	10.2307/2078466	Republicanism: the Career of a Concept	Daniel T. Rodgers	The Journal of American History	79	1	1992-06-01T00:00:00Z	pp. 11-38	Organization of American Historians	fla			
10.2307/4486409	10.2307/4486409	Telling Stories: The Political Uses of Myth and History in the Cherokee and Creek Nations	Claudio Saunt	The Journal of American History	93	3	2006-12-01T00:00:00Z	pp. 673-697	Organization of American Historians	fla			
10.2307/40959939	10.2307/40959939	"That's the Way I've Always Heard It Should Be": Baby Boomers, 1970s Singer-Songwriters, and Romantic Relationships	Judy Kutulas	The Journal of American History	97	3	2010-12-01T00:00:00Z	pp. 682-702	Organization of American Historians	fla			
10.2307/2568270	10.2307/2568270	Textbooks and Teaching: A Reintroduction	Peter Filene, Peter Wood	The Journal of American History	85	4	1999-03-01T00:00:00Z	pp. 1525-1526	Organization of American Historians	fla			
