id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/2649354	10.2307/2649354	Time, Culture, and Christian Eschatology: The Year 2000 in the West and the World	Paul A. Cohen	The American Historical Review	104	5	1999-12-01T00:00:00Z	pp. 1615-1628	American Historical Association, Oxford University Press	fla			
10.1086/530555	10.1086/530555	Introduction		The American Historical Review	109	3	2004-06-01T00:00:00Z	p. 782	American Historical Association, Oxford University Press	fla			
10.1086/ahr.110.5.1648	10.1086/ahr.110.5.1648	Other Books Received		The American Historical Review	110	5	2005-12-01T00:00:00Z	pp. 1648-1654	American Historical Association, Oxford University Press	fla			
10.2307/2167063	10.2307/2167063	Saint-Omer and Its Textile Trades in the Late Middle Ages: A Contribution to the Proto-Industrialization Debate	Marci Sortor	The American Historical Review	98	5	1993-12-01T00:00:00Z	pp. 1475-1499	American Historical Association, Oxford University Press	fla			
10.2307/2164776	10.2307/2164776	A Political Science Perspective on the Balance of Power and the Concert	Robert Jervis	The American Historical Review	97	3	1992-06-01T00:00:00Z	pp. 716-724	American Historical Association, Oxford University Press	fla			
10.1086/ahr.111.4.1120	10.1086/ahr.111.4.1120	Anti-Americanism: It's the Policies	Juan Cole	The American Historical Review	111	4	2006-10-01T00:00:00Z	pp. 1120-1129	American Historical Association, Oxford University Press	fla			
10.2307/2170176	10.2307/2170176	Imagining the Harvest in Early Modern Europe	Liana Vardi	The American Historical Review	101	5	1996-12-01T00:00:00Z	pp. 1357-1397	American Historical Association, Oxford University Press	fla			
10.2307/2169638	10.2307/2169638	[Introduction]	Thomas Prasch	The American Historical Review	101	4	1996-10-01T00:00:00Z	pp. 1139-1141	American Historical Association, Oxford University Press	fla			
10.2307/2649970	10.2307/2649970	Wizards, Bureaucrats, Warriors, and Hackers: Writing the History of the Internet	Roy Rosenzweig	The American Historical Review	103	5	1998-12-01T00:00:00Z	pp. 1530-1552	American Historical Association, Oxford University Press	fla			
10.2307/40008442	10.2307/40008442	Public Discourse, Corporate Citizenship, and State Formation in Early Modern England	Phil Withington	The American Historical Review	112	4	2007-10-01T00:00:00Z	pp. 1016-1038	American Historical Association, Oxford University Press	fla			
10.2307/2167539	10.2307/2167539	Collected Essays		The American Historical Review	99	2	1994-04-01T00:00:00Z	pp. 702-716	American Historical Association, Oxford University Press	fla			
10.1086/ahr.111.3.722	10.1086/ahr.111.3.722	The Mediterranean and “the New Thalassology”	Peregrine Horden, Nicholas Purcell	The American Historical Review	111	3	2006-06-01T00:00:00Z	pp. 722-740	American Historical Association, Oxford University Press	fla			
10.2307/2165942	10.2307/2165942	Notes on Deconstructing "The Folk"	Robin D. G. Kelley	The American Historical Review	97	5	1992-12-01T00:00:00Z	pp. 1400-1408	American Historical Association, Oxford University Press	fla			
10.2307/2170830	10.2307/2170830	History and Imperialism: A Century of Theory, from Marx to Postcolonialism	Patrick Wolfe	The American Historical Review	102	2	1997-04-01T00:00:00Z	pp. 388-420	American Historical Association, Oxford University Press	fla			
10.1086/529783	10.1086/529783	Erratum: The Transformation of American Abolitionism: Fighting Slavery in the Early Republic		The American Historical Review	108	3	2003-06-01T00:00:00Z	p. 975	American Historical Association, Oxford University Press	fla			
10.1086/530750	10.1086/530750	Speaking Historically: The Changing Voices of Historical Narration in Western India, 1400-1900	Sumit Guha	The American Historical Review	109	4	2004-10-01T00:00:00Z	pp. 1084-1103	American Historical Association, Oxford University Press	fla			
10.2307/2651409	10.2307/2651409	Saidism without Said: Orientalism and U.S. Diplomatic History	Andrew J. Rotter	The American Historical Review	105	4	2000-10-01T00:00:00Z	pp. 1205-1217	American Historical Association, Oxford University Press	fla			
10.2307/2166160	10.2307/2166160	Connections	Louise A. Tilly	The American Historical Review	99	1	1994-02-01T00:00:00Z	pp. 1-20	American Historical Association, Oxford University Press	fla			
10.1086/ahr.111.1.76	10.1086/ahr.111.1.76	Homicide: Explaining America's Exceptionalism	Eric Monkkonen	The American Historical Review	111	1	2006-02-01T00:00:00Z	pp. 76-94	American Historical Association, Oxford University Press	fla			
10.2307/2166835	10.2307/2166835	How Wide the Circle of the "We"? American Intellectuals and the Problem of the Ethnos since World War II	David A. Hollinger	The American Historical Review	98	2	1993-04-01T00:00:00Z	pp. 317-337	American Historical Association, Oxford University Press	fla			
10.1086/ahr.110.4.1320a	10.1086/ahr.110.4.1320a		Kenneth T. Jackson	The American Historical Review	110	4	2005-10-01T00:00:00Z	pp. 1320-1321	American Historical Association, Oxford University Press	fla			
10.2307/2651204	10.2307/2651204	Two Regimes of Memory	Samuel Moyn	The American Historical Review	103	4	1998-10-01T00:00:00Z	pp. 1182-1186	American Historical Association, Oxford University Press	fla			
10.2307/2692942	10.2307/2692942	The Strange Death of Margarita Marcellini: Male, Signs, and the Everyday World of Pre-Modern Medicine	Guido Ruggiero	The American Historical Review	106	4	2001-10-01T00:00:00Z	pp. 1141-1158	American Historical Association, Oxford University Press	fla			
10.2307/2649570	10.2307/2649570	A Note on the Use of North American Borderlands	Evan Haefeli	The American Historical Review	104	4	1999-10-01T00:00:00Z	pp. 1222-1225	American Historical Association, Oxford University Press	fla			
10.2307/2170622	10.2307/2170622	Errata: Book Review		The American Historical Review	101	2	1996-04-01T00:00:00Z	p. 629	American Historical Association, Oxford University Press	fla			
10.2307/2650378	10.2307/2650378	The Cold War: What Do "We Now Know"?	Melvyn P. Leffler	The American Historical Review	104	2	1999-04-01T00:00:00Z	pp. 501-524	American Historical Association, Oxford University Press	fla			
10.2307/4136007	10.2307/4136007	Overcoming the "Contagion of Mimicry": The Cosmopolitan Nationalism and Modernist History of Rabindranath Tagore and W. B. Yeats	Louise Blakeney Williams	The American Historical Review	112	1	2007-02-01T00:00:00Z	pp. 69-100	American Historical Association, Oxford University Press	fla			
10.1086/ahr.111.3.951	10.1086/ahr.111.3.951	Reviews	Bernard Bailyn	The American Historical Review	111	3	2006-06-01T00:00:00Z	p. 951	American Historical Association, Oxford University Press	fla			
10.2307/2168607	10.2307/2168607	Revisioning U.S. Political History	Mark H. Leff	The American Historical Review	100	3	1995-06-01T00:00:00Z	pp. 829-853	American Historical Association, Oxford University Press	fla			
10.1086/530547	10.1086/530547	Collected Essays		The American Historical Review	109	2	2004-04-01T00:00:00Z	pp. 662-670	American Historical Association, Oxford University Press	fla			
10.2307/40008443	10.2307/40008443	The Claims of Slaves and Ex-Slaves to Family and Property: A Transatlantic Comparison	Dylan C. Penningroth	The American Historical Review	112	4	2007-10-01T00:00:00Z	pp. 1039-1069	American Historical Association, Oxford University Press	fla			
10.2307/2166162	10.2307/2166162	The Long Goodbye: Dutch Capitalism and Antislavery in Comparative Perspective	Seymour Drescher	The American Historical Review	99	1	1994-02-01T00:00:00Z	pp. 44-69	American Historical Association, Oxford University Press	fla			
10.1086/532097	10.1086/532097	Introduction	Anthony Grafton	The American Historical Review	107	1	2002-02-01T00:00:00Z	pp. 84-86	American Historical Association, Oxford University Press	fla			
10.2307/2165717	10.2307/2165717	Collected Essays		The American Historical Review	97	4	1992-10-01T00:00:00Z	pp. 1324-1337	American Historical Association, Oxford University Press	fla			
10.2307/2168204	10.2307/2168204	Russia Then and Now in the Pages of the American Historical Review and Elsewhere: A Few Centennial Notes	Terence Emmons	The American Historical Review	100	4	1995-10-01T00:00:00Z	pp. 1136-1149	American Historical Association, Oxford University Press	fla			
10.2307/2651205	10.2307/2651205	Genocide, Barbaric Others, and the Violence of Categories: A Response to Omer Bartov	Vinay Lal	The American Historical Review	103	4	1998-10-01T00:00:00Z	pp. 1187-1190	American Historical Association, Oxford University Press	fla			
10.1086/532666	10.1086/532666	Buffalo Bill Meets Dracula: William F. Cody, Bram Stoker, and the Frontiers of Racial Decay	Louis S. Warren	The American Historical Review	107	4	2002-10-01T00:00:00Z	pp. 1124-1157	American Historical Association, Oxford University Press	fla			
10.2307/2170393	10.2307/2170393	Explaining Salem: Calvinist Psychology and the Diagnosis of Possession	David Harley	The American Historical Review	101	2	1996-04-01T00:00:00Z	pp. 307-330	American Historical Association, Oxford University Press	fla			
10.1086/530934	10.1086/530934	Gutenberg-e: Electronic Entry to the Historical Professoriate	Patrick Manning	The American Historical Review	109	5	2004-12-01T00:00:00Z	pp. 1505-1526	American Historical Association, Oxford University Press	fla			
10.2307/2169634	10.2307/2169634	From Town Center to Shopping Center: The Reconfiguration of Community Marketplaces in Postwar America	Lizabeth Cohen	The American Historical Review	101	4	1996-10-01T00:00:00Z	pp. 1050-1081	American Historical Association, Oxford University Press	fla			
10.2307/2692328	10.2307/2692328	Film and the Matrix of Memory	Jay Winter	The American Historical Review	106	3	2001-06-01T00:00:00Z	pp. 857-864	American Historical Association, Oxford University Press	fla			
10.2307/2650990	10.2307/2650990	From Borderlands to Borders: Empires, Nation-States, and the Peoples in between in North American History	Jeremy Adelman, Stephen Aron	The American Historical Review	104	3	1999-06-01T00:00:00Z	pp. 814-841	American Historical Association, Oxford University Press	fla			
10.1086/530336	10.1086/530336	The Dynamics of Urban Development: Towns in Sixteenth and Seventeenth-Century Hungary	Balazs A. Szelenyi	The American Historical Review	109	2	2004-04-01T00:00:00Z	pp. 360-386	American Historical Association, Oxford University Press	fla			
10.1086/ahr.111.4.1041	10.1086/ahr.111.4.1041	Introduction		The American Historical Review	111	4	2006-10-01T00:00:00Z	p. 1041	American Historical Association, Oxford University Press	fla			
10.1086/529595	10.1086/529595	Can We Save the Present for the Future? Introduction		The American Historical Review	108	3	2003-06-01T00:00:00Z	p. 734	American Historical Association, Oxford University Press	fla			
10.1086/ahr.110.4.1323a	10.1086/ahr.110.4.1323a		Matthew Lenoe	The American Historical Review	110	4	2005-10-01T00:00:00Z	pp. 1323-1324	American Historical Association, Oxford University Press	fla			
10.2307/2166601	10.2307/2166601	Economic Integration and the European International System in the Era of World War I	Paul W. Schroeder	The American Historical Review	98	4	1993-10-01T00:00:00Z	pp. 1130-1137	American Historical Association, Oxford University Press	fla			
10.2307/2164775	10.2307/2164775	A Bipolar Balance of Power	Enno E. Kraehe	The American Historical Review	97	3	1992-06-01T00:00:00Z	pp. 707-715	American Historical Association, Oxford University Press	fla			
10.1086/532665	10.1086/532665	Subjects into Citizens: Societies, Civil Society, and Autocracy in Tsarist Russia	Joseph Bradley	The American Historical Review	107	4	2002-10-01T00:00:00Z	pp. 1094-1123	American Historical Association, Oxford University Press	fla			
10.2307/2166838	10.2307/2166838	Framing Discipline with Law: Problems and Promises of the Liberal State	Jan Goldstein	The American Historical Review	98	2	1993-04-01T00:00:00Z	pp. 364-375	American Historical Association, Oxford University Press	fla			
10.2307/2165732	10.2307/2165732	JFK: Historical Fact/Historical Film	Robert A. Rosenstone	The American Historical Review	97	2	1992-04-01T00:00:00Z	pp. 506-511	American Historical Association, Oxford University Press	fla			
10.2307/2652225	10.2307/2652225	Popular Films and Colonial Audiences: The Movies in Northern Rhodesia	Charles Ambler	The American Historical Review	106	1	2001-02-01T00:00:00Z	pp. 81-105	American Historical Association, Oxford University Press	fla			
10.1086/ahr.110.3.934a	10.1086/ahr.110.3.934a		Ariel de la Fuente	The American Historical Review	110	3	2005-06-01T00:00:00Z	pp. 934-935	American Historical Association, Oxford University Press	fla			
10.1086/529779	10.1086/529779	Collected Essays		The American Historical Review	108	3	2003-06-01T00:00:00Z	pp. 961-965	American Historical Association, Oxford University Press	fla			
10.2307/2651410	10.2307/2651410	Orientalism, the Balkans, and Balkan Historiography	K. E. Fleming	The American Historical Review	105	4	2000-10-01T00:00:00Z	pp. 1218-1233	American Historical Association, Oxford University Press	fla			
10.1086/531119	10.1086/531119	Does Inquisition Belong to Religious History?	Christine Caldwell Ames	The American Historical Review	110	1	2005-02-01T00:00:00Z	pp. 11-37	American Historical Association, Oxford University Press	fla			
10.2307/2651412	10.2307/2651412	Active/Passive, Acts/Passions: Greek and Roman Sexualities	Ruth Mazo Karras	The American Historical Review	105	4	2000-10-01T00:00:00Z	pp. 1250-1265	American Historical Association, Oxford University Press	fla			
10.2307/2169226	10.2307/2169226	The Crisis after Forty Years	Ronald Witt	The American Historical Review	101	1	1996-02-01T00:00:00Z	pp. 110-118	American Historical Association, Oxford University Press	fla			
10.2307/2650370	10.2307/2650370	Incurring a Debt of Gratitude: 1898 and the Moral Sources of United States Hegemony in Cuba	Louis A. Pérez Jr.	The American Historical Review	104	2	1999-04-01T00:00:00Z	pp. 356-398	American Historical Association, Oxford University Press	fla			
10.2307/2169229	10.2307/2169229	Hans Baron's Renaissance Humanism: A Comment	Werner Gundersheimer	The American Historical Review	101	1	1996-02-01T00:00:00Z	pp. 142-144	American Historical Association, Oxford University Press	fla			
10.2307/2166153	10.2307/2166153	Collected Essays		The American Historical Review	97	5	1992-12-01T00:00:00Z	pp. 1640-1653	American Historical Association, Oxford University Press	fla			
10.1086/529593	10.1086/529593	The Myth and Reality of Italian Regionalism: A Historical Geography of Napoleonic Italy, 1801-1814	Michael Broers	The American Historical Review	108	3	2003-06-01T00:00:00Z	pp. 688-709	American Historical Association, Oxford University Press	fla			
10.2307/1571463	10.2307/1571463	Slavery at Different Times and Places	Stanley L. Engerman	The American Historical Review	105	2	2000-04-01T00:00:00Z	pp. 480-484	American Historical Association, Oxford University Press	fla			
10.1086/ahr.110.5.1427	10.1086/ahr.110.5.1427	Stalinist Terror and Democracy: The 1937 Union Campaign	Wendy Goldman	The American Historical Review	110	5	2005-12-01T00:00:00Z	pp. 1427-1453	American Historical Association, Oxford University Press	fla			
10.1086/530153	10.1086/530153	The Recent History of Human Rights	Kenneth Cmiel	The American Historical Review	109	1	2004-02-01T00:00:00Z	pp. 117-135	American Historical Association, Oxford University Press	fla			
10.2307/2170396	10.2307/2170396	The Economic Crisis of 1968 and the Waning of the "American Century"	Robert M. Collins	The American Historical Review	101	2	1996-04-01T00:00:00Z	pp. 396-422	American Historical Association, Oxford University Press	fla			
10.2307/2650565	10.2307/2650565	Erratum: Reviews of Books		The American Historical Review	104	2	1999-04-01T00:00:00Z	p. 714	American Historical Association, Oxford University Press	fla			
10.2307/2650779	10.2307/2650779	Renaissance Redux	Randolph Starn	The American Historical Review	103	1	1998-02-01T00:00:00Z	pp. 122-124	American Historical Association, Oxford University Press	fla			
10.2307/2650570	10.2307/2650570	The Color Line behind the Lines: Racial Violence in France during the Great War	Tyler Stovall	The American Historical Review	103	3	1998-06-01T00:00:00Z	pp. 737-769	American Historical Association, Oxford University Press	fla			
10.1086/533235	10.1086/533235	Documents and Bibliographies		The American Historical Review	108	1	2003-02-01T00:00:00Z	pp. 320-321	American Historical Association, Oxford University Press	fla			
10.2307/4136008	10.2307/4136008	Reopening the "Opening of Japan": A Russian-Japanese Revolutionary Encounter and the Vision of Anarchist Progress	Sho Konishi	The American Historical Review	112	1	2007-02-01T00:00:00Z	pp. 101-130	American Historical Association, Oxford University Press	fla			
10.2307/2167065	10.2307/2167065	China and Western Technology in the Late Eighteenth Century	Joanna Waley-Cohen	The American Historical Review	98	5	1993-12-01T00:00:00Z	pp. 1525-1544	American Historical Association, Oxford University Press	fla			
10.2307/2168772	10.2307/2168772	Atrocity, War Crime, and Treason in the English Civil War	Barbara Donagan	The American Historical Review	99	4	1994-10-01T00:00:00Z	pp. 1137-1166	American Historical Association, Oxford University Press	fla			
10.2307/2650371	10.2307/2650371	The Gender of Resistance in Communist Poland	Padraic Kenney	The American Historical Review	104	2	1999-04-01T00:00:00Z	pp. 399-425	American Historical Association, Oxford University Press	fla			
10.2307/30222843	10.2307/30222843	Reforestation, Landscape Conservation, and the Anxieties of Empire in French Colonial Algeria	Caroline Ford	The American Historical Review	113	2	2008-04-01T00:00:00Z	pp. 341-362	American Historical Association, Oxford University Press	fla			
10.2307/2692325	10.2307/2692325	Saving Private Ryan and Postwar Memory in America	John Bodnar	The American Historical Review	106	3	2001-06-01T00:00:00Z	pp. 805-817	American Historical Association, Oxford University Press	fla			
10.2307/2167984	10.2307/2167984	The Problem of Survival for the Angevin "Empire": Henry II's and His Sons' Vision versus Late Twelfth-Century Realities	Ralph V. Turner	The American Historical Review	100	1	1995-02-01T00:00:00Z	pp. 78-96	American Historical Association, Oxford University Press	fla			
10.1086/533042	10.1086/533042	Communications	A. Lynn Martin, Samuel K. Cohn, Jr., Jon Cowans, Kenneth Margerison	The American Historical Review	107	5	2002-12-01T00:00:00Z	pp. 1704-1705	American Historical Association, Oxford University Press	fla			
10.1086/531504	10.1086/531504	Documents and Bibliographies		The American Historical Review	110	2	2005-04-01T00:00:00Z	pp. 605-607	American Historical Association, Oxford University Press	fla			
10.2307/30223051	10.2307/30223051	The Myth of the "Weak" American State	William J. Novak	The American Historical Review	113	3	2008-06-01T00:00:00Z	pp. 752-772	American Historical Association, Oxford University Press	fla			
10.2307/30223450	10.2307/30223450	Unanswered Questions	Joan W. Scott	The American Historical Review	113	5	2008-12-01T00:00:00Z	pp. 1422-1429	American Historical Association, Oxford University Press	fla			
10.2307/2167770	10.2307/2167770	The Desire to Contribute: An Eighteenth-Century Italian Woman of Science	Gabriella Berti Logan	The American Historical Review	99	3	1994-06-01T00:00:00Z	pp. 785-812	American Historical Association, Oxford University Press	fla			
10.2307/2692741	10.2307/2692741	"Cuffy," "Fancy Maids," and "One-Eyed Men": Rape, Commodification, and the Domestic Slave Trade in the United States	Edward E. Baptist	The American Historical Review	106	5	2001-12-01T00:00:00Z	pp. 1619-1650	American Historical Association, Oxford University Press	fla			
10.2307/2168774	10.2307/2168774	History from the Ecological Perspective: Gaia Theory and the Problem of Cooperatives in Turn-of-the-Century Germany	Brett Fairbairn	The American Historical Review	99	4	1994-10-01T00:00:00Z	pp. 1203-1239	American Historical Association, Oxford University Press	fla			
10.2307/2165944	10.2307/2165944	Making Fun of Popular Culture	T. J. Jackson Lears	The American Historical Review	97	5	1992-12-01T00:00:00Z	pp. 1417-1426	American Historical Association, Oxford University Press	fla			
10.2307/2649347	10.2307/2649347	Modernity Global and Local: Consumption and the Rise of the West	Craig Clunas	The American Historical Review	104	5	1999-12-01T00:00:00Z	pp. 1497-1511	American Historical Association, Oxford University Press	fla			
10.2307/2692939	10.2307/2692939	Erratum: Reviews of Books		The American Historical Review	106	5	2001-12-01T00:00:00Z	p. 1943	American Historical Association, Oxford University Press	fla			
10.1086/ahr.110.4.1322	10.1086/ahr.110.4.1322		Bryan D. Palmer	The American Historical Review	110	4	2005-10-01T00:00:00Z	p. 1322	American Historical Association, Oxford University Press	fla			
10.1086/530549	10.1086/530549	Other Books Received		The American Historical Review	109	2	2004-04-01T00:00:00Z	pp. 673-680	American Historical Association, Oxford University Press	fla			
10.1086/533406	10.1086/533406	Other Books Received		The American Historical Review	108	2	2003-04-01T00:00:00Z	pp. 635-644	American Historical Association, Oxford University Press	fla			
10.1086/ahr.111.5.1654	10.1086/ahr.111.5.1654	Documents and Bibliographies		The American Historical Review	111	5	2006-12-01T00:00:00Z	pp. 1654-1655	American Historical Association, Oxford University Press	fla			
10.2307/4136609	10.2307/4136609	Whither Family History? A Road Map from Latin America	Nara Milanich	The American Historical Review	112	2	2007-04-01T00:00:00Z	pp. 439-458	American Historical Association, Oxford University Press	fla			
10.2307/2164779	10.2307/2164779	Gender and the Politics of Class Formation: Rethinking German Labor History	Kathleen Canning	The American Historical Review	97	3	1992-06-01T00:00:00Z	pp. 736-768	American Historical Association, Oxford University Press	fla			
10.2307/2652441	10.2307/2652441	Restarting Chinese History	Merle Goldman	The American Historical Review	105	1	2000-02-01T00:00:00Z	pp. 153-164	American Historical Association, Oxford University Press	fla			
10.2307/2168200	10.2307/2168200	World History in a Global Age	Michael Geyer, Charles Bright	The American Historical Review	100	4	1995-10-01T00:00:00Z	pp. 1034-1060	American Historical Association, Oxford University Press	fla			
10.2307/2692743	10.2307/2692743	From Settler Colony to Global Hegemon: Integrating the Exceptionalist Narrative of the American Experience into World History	Michael Adas	The American Historical Review	106	5	2001-12-01T00:00:00Z	pp. 1692-1720	American Historical Association, Oxford University Press	fla			
10.2307/2166599	10.2307/2166599	The American Revolutionaries, the Political Economy of Aristocracy, and the American Concept of the Distribution of Wealth, 1765-1900	James L. Huston	The American Historical Review	98	4	1993-10-01T00:00:00Z	pp. 1079-1105	American Historical Association, Oxford University Press	fla			
10.2307/2168206	10.2307/2168206	The Past and Present of Environmental History	Alfred W. Crosby	The American Historical Review	100	4	1995-10-01T00:00:00Z	pp. 1177-1189	American Historical Association, Oxford University Press	fla			
10.2307/30222846	10.2307/30222846	Crooked Lines	William H. Sewell Jr.	The American Historical Review	113	2	2008-04-01T00:00:00Z	pp. 393-405	American Historical Association, Oxford University Press	fla			
10.2307/2170628	10.2307/2170628	Transnationalism and the Predicament of Sovereignty: China, 1900-1945	Prasenjit Duara	The American Historical Review	102	4	1997-10-01T00:00:00Z	pp. 1030-1051	American Historical Association, Oxford University Press	fla			
10.2307/2167060	10.2307/2167060	Europeans and the Rise and Fall of African Slavery in the Americas: An Interpretation	David Eltis	The American Historical Review	98	5	1993-12-01T00:00:00Z	pp. 1399-1423	American Historical Association, Oxford University Press	fla			
10.2307/2652440	10.2307/2652440	The Emancipation of America	E. RODRÍGUEZ O. Jaime	The American Historical Review	105	1	2000-02-01T00:00:00Z	pp. 131-152	American Historical Association, Oxford University Press	fla			
10.1086/ahr.110.3.631	10.1086/ahr.110.3.631	Rethinking Sir Moses Montefiore: Religion, Nationhood, and International Philanthropy in the Nineteenth Century	Abigail Green	The American Historical Review	110	3	2005-06-01T00:00:00Z	pp. 631-658	American Historical Association, Oxford University Press	fla			
10.1086/532852	10.1086/532852	From Majesty to Mystery: Change in the Meanings of Black Madonnas from the Sixteenth to Nineteenth Centuries	Monique Scheer	The American Historical Review	107	5	2002-12-01T00:00:00Z	pp. 1412-1440	American Historical Association, Oxford University Press	fla			
10.1086/530331	10.1086/530331	Documents and Bibliographies		The American Historical Review	109	1	2004-02-01T00:00:00Z	pp. 307-308	American Historical Association, Oxford University Press	fla			
10.2307/2170169	10.2307/2170169	Collected Essays		The American Historical Review	100	5	1995-12-01T00:00:00Z	pp. 1738-1751	American Historical Association, Oxford University Press	fla			
10.2307/4136190	10.2307/4136190	Communications		The American Historical Review	112	1	2007-02-01T00:00:00Z	p. 328	American Historical Association, Oxford University Press	fla			
10.1086/532857	10.1086/532857	Cultural Theory in History Today	Richard Handler	The American Historical Review	107	5	2002-12-01T00:00:00Z	pp. 1512-1520	American Historical Association, Oxford University Press	fla			
10.1086/530147	10.1086/530147	Other Books Received		The American Historical Review	108	5	2003-12-01T00:00:00Z	pp. 1587-1598	American Historical Association, Oxford University Press	fla			
