id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/25643867	10.2307/25643867	FRENCH EMPIRE ELITES AND THE POLITICS OF ECONOMIC OBLIGATION IN THE INTERWAR YEARS	MARTIN THOMAS	The Historical Journal	52	4	2009-12-01T00:00:00Z	pp. 989-1016	Cambridge University Press	fla		This article considers the changing ways in which French political elites understood imperial obligation in the interwar years. It suggests that the economics of imperial rule and disputes over what could and should be done to develop colonial economies provide the key to understanding both the failure of interwar colonial reforms and the irreversible decline in France's grip over its colonies. In making this case, the article investigates four related colonial policy debates, all variously linked to changing conceptualizations of economic obligation among France's law-makers. The first concerns Albert Sarraut's 1921 empire development plan. The second reviews discussions over the respective obligations of the state and private financiers in regenerating colonial economies during the depression years of the early 1930s. The third debate reassesses policymakers' disputes over colonial industrialization. Finally, the article revisits the apparent failure of the investigative studies of economic and labour reforms conceived by the left-leaning Popular Front in 1936–8. The point is to highlight the extent to which senior political figures clashed over concepts of 'colonial obligation' viewed less in the cultural terms of 'civilizing mission' than in the material sense of economic outlay.	
10.2307/40929824	10.2307/40929824	Yorkshire and Lancashire ascendant: England's textile exports to New York and Philadelphia, 1750-1805	PETER MAW	The Economic History Review	63	3	2010-08-01T00:00:00Z	pp. 734-768	Economic History Society, Wiley	fla		This article uses American merchants' papers to identify the leading English textile exporters to New York and Philadelphia (1750-1805). It shows that Yorkshire and Lancashire took the initiative from London after 1783. The north's ascendancy stemmed from refinements to a well-functioning trading system rather than from the creation of wholly new channels of trade. The emergent exporters of Leeds and Manchester were driven as much by the dictates of sales as of manufacturing; their factory investments were just one component of a series of connections with production. American importers retained their role as intermediaries between English exporters and backcountry retailers.	
10.2307/40543358	10.2307/40543358	Cholera and the Pump on Broad Street: The Life and Legacy of John Snow	Laura Ball	The History Teacher	43	1	2009-11-01T00:00:00Z	pp. 105-119	Society for History Education	fla			
10.2307/27771569	10.2307/27771569	Against the mainstream: Nazi privatization in 1930s Germany	GERMÀ BEL	The Economic History Review	63	1	2010-02-01T00:00:00Z	pp. 34-55	Economic History Society, Wiley	fla		Nationalization was particularly important in the early 1930s in Germany. The state took over a large industrial concern, large commercial banks, and other minor firms. In the mid-1930s, the Nazi regime transferred public ownership to the private sector. In doing so, they went against the mainstream trends in western capitalistic countries, none of which systematically reprivatized firms during the 1930s. Privatization was used as a political tool to enhance support for the government and for the Nazi Party. In addition, growing financial restrictions because of the cost of the rearmament programme provided additional motivations for privatization.	
10.2307/27563732	10.2307/27563732	Convert Alert: German Muslims and Turkish Christians as Threats to Security in the New Europe	Esra Özyürek	Comparative Studies in Society and History	51	1	2009-01-01T00:00:00Z	pp. 91-116	Cambridge University Press	fla			
10.2307/40661827	10.2307/40661827	Living against America: Classroom Encounters in Beirut	Patrick McGreevy	The Journal of American History	96	4	2010-03-01T00:00:00Z	pp. 1087-1093	Organization of American Historians	fla			
10.2307/27694567	10.2307/27694567	Rethinking a Curricular "Muddle in the Middle": Revising the Undergraduate History Major at Western Michigan University	Linda J. Borish, Mitch Kachun, Cheryl Lyon-Jenness	The Journal of American History	95	4	2009-03-01T00:00:00Z	pp. 1102-1113	Organization of American Historians	fla			
10.2307/40929863	10.2307/40929863	Regulation, rent-seeking, and the Glorious Revolution in the English Atlantic economy	NUALA ZAHEDIEH	The Economic History Review	63	4	2010-11-01T00:00:00Z	pp. 865-890	Economic History Society, Wiley	fla		The rapid rise of England's colonial commerce in the late seventeenth century expanded the nation's resource base, stimulated efficiency improvements across the economy, and was important for long-term growth. However, close examination of the interests at play in England's Atlantic world does not support the Whiggish view that the Glorious Revolution played a benign role in this story. In the decades after the Restoration, the cases of the Royal African Company and the Spanish slave trade in Jamaica are used to show that the competition between Crown and Parliament for control of regulation constrained interest groups on either side in their efforts to capture the profits of empire. Stuart 'tyranny' was not able to damage growth and relatively competitive (and peaceful) conditions underpinned very rapid increases in colonial output and trade. The resolution of the rules of the Atlantic game in 1689 allowed a consolidated state better to manipulate and manage the imperial economy in its own interests. More secure rent-seeking enterprises and expensive wars damaged growth and European rivals began a process of catch-up. The Glorious Revolution was not sufficient to permanently halt economic development but it was sufficient to slow progress towards industrial revolution.	
10.2307/20685508	10.2307/20685508	Biography and Historiography: Mutual Evidentiary and Interdisciplinary Considerations	Robert I. Rotberg	The Journal of Interdisciplinary History	40	3	2010-01-01T00:00:00Z	pp. 305-324	The MIT Press	fla		Biography is history, depends on history, and strengthens and enriches history. In turn, all history is biography. History could hardly exist without biographical insights—without the texture of human endeavor that emanates from a full appreciation of human motivation, the real or perceived constraints on human action, and exogenous influences on human behavior. Social forces are important, but they act on and through individuals. Structural and cultural variables are important, but individuals pull the levers of structure and act within or against cultural norms. The success of historical biography as a craft ultimately turns on the nature of its evidence and the interdisciplinary methodologies that it can bring to bear on its subject.	
10.2307/25643889	10.2307/25643889	URBAN HISTORY AND MODERNITY IN CENTRAL EUROPE	EGBERT KLAUTKE	The Historical Journal	53	1	2010-03-01T00:00:00Z	pp. 177-195	Cambridge University Press	fla		This historiographical review discusses recent literature on cities in modern Central Europe — mainly on Berlin and Vienna — which reflects the great variety of approaches to urban history and underlines the importance of urban history for the study of modernity. The history of urbanization was a central event in the history of modernity. Especially in the Central European capitals of Berlin and Vienna, where modernization and urban growth started later and then advanced more quickly than in West European cities, all aspects of social, political, economic, and cultural modernity and its consequences can be observed in detail.	
10.2307/40543620	10.2307/40543620	Gary Nash: Preeminent Scholar and Committed Educator	Linda Symcox	The History Teacher	42		2009-01-01T00:00:00Z	pp. 29-38	Society for History Education	fla			
10.2307/25799394	10.2307/25799394	Five Good Reasons to Show "Great Guy" (1936) in Our U.S. History and American Studies Classes (and the Challenges We'll Face)	Katherine Allocco	The History Teacher	44	1	2010-11-01T00:00:00Z	pp. 19-33	Society for History Education	fla			
10.2307/25478835	10.2307/25478835	All This Happened, More or Less: What a Novelist Made of the Bombing of Dresden	Ann Rigney	History and Theory	48	2	2009-05-01T00:00:00Z	pp. 5-24	Wesleyan University, Wiley	fla		Kurt Vonnegut's novel Slaughterhouse-Five (1969) was a popular and critical success when it first appeared, and has had a notable impact on popular perceptions of "the bombing of Dresden," although it has been criticized by historians because of its inaccuracy. This article analyzes the novel's quirky, comic style and its generic mixture of science fiction and testimony, showing how Vonnegut consistently used ingenuous understatement as a way of imaginatively engaging his readers with the horrors of war. The article argues that the text's aesthetics are closer to those of graphic novels than of realist narratives and that, accordingly, we can understand its cultural impact only by approaching it as a highly artificial linguistic performance with present-day appeal and contemporary relevance, and not merely by measuring the degree to which it gives a full and accurate mimesis of past events. The article uses the case of Vonnegut to advance a more general argument that builds on recent work in cultural memory studies: in order to understand the role that literature plays in shaping our understanding of history, it needs to be analyzed in its own terms and not as a mere derivative of historiography according to a "one model fits all" approach. Furthermore, we need to shift the emphasis from products to processes by considering both artistic and historiographical practices as agents in the ongoing circulation across different cultural domains of stories about the past. Theoretical reflection should account for the fact that historiography and the various arts play distinct roles in this cultural dynamics, and while they compete with one another, they also converge, bounce off one another, influence one another, and continuously beg to be different.	
10.2307/40538643	10.2307/40538643	Financing Manufacturing Innovation in Argentina, 1890-1930	Yovanna Pineda	The Business History Review	83	3	2009-10-01T00:00:00Z	pp. 539-562	The President and Fellows of Harvard College	fla		Between 1890 and 1930, Argentina's manufacturers invested in imported machinery. Although they aligned with political allies to advance and protect their companies, their dependence on imported machinery, raw materials, fuel, and expensive skilled labor were obstacles to their success. Two factors slowed the progress of these entrepreneurs: their lack of technological capabilities and the absence of government policies to address the problems entailed in importing foreign machinery. Several political factions supported industry's efforts to reduce dependence on imported products and to diversify the economy. While these supporters hoped to promote industry through the passage of legislation to raise the tariff rate, their strategy represented a compromise that stifled the drive to innovate that is so necessary for long-run economic growth and industrial development.	
10.2307/40783313	10.2307/40783313	<b>SEIGNEURIAL WAR AND ROYAL POWER IN LATER MEDIEVAL SOUTHERN FRANCE</b>	Justine Firnhaber-Baker	Past & Present		208	2010-08-01T00:00:00Z	pp. 37-76	Oxford University Press, The Past and Present Society	fla			
10.2307/40270360	10.2307/40270360	The Traveling Panopticon: Labor Institutions and Labor Practices in Russia and Britain in the Eighteenth and Nineteenth Centuries	Alessandro Stanziani	Comparative Studies in Society and History	51	4	2009-10-01T00:00:00Z	pp. 715-741	Cambridge University Press	fla			
10.2307/25740756	10.2307/25740756	Preventing "Back-atcha": Improving Secondary School Instruction by Introducing Prospective Teachers to Historiography	Barbara J. Blaszak	The History Teacher	43	3	2010-05-01T00:00:00Z	pp. 435-439	Society for History Education	fla			
10.2307/25622300	10.2307/25622300	Lincoln Theme 20	Matthew Pinsker	The Journal of American History	96	2	2009-09-01T00:00:00Z	pp. 417-440	Organization of American Historians	fla			
10.2307/27696485	10.2307/27696485	Social Life and Civic Education in the Rio de Janeiro City Jail	Amy Chazkel	Journal of Social History	42	3	2009-04-01T00:00:00Z	pp. 697-731	Oxford University Press	fla		This article reconstructs the social ecology of the Brazilian capital city's principal Detention Center (Casa de Detenção) at the beginning of the country's First Republic (1889–1930). Most of the persons in Rio's city jail at this time were only detained for a relatively brief period and without any formal charges. This detention center's manuscript entry logs, annual ministerial reports, administrative correspondence, and published prison diaries and journalistic accounts reveal this institution as a living theater that dramatizes the gap between legal code and real-life juridical practice more powerfully than perhaps any other institution in modern, urban Brazil. The criminal justice system provided the primary interface between the state and nonelite members of Rio society. During their time in the Casa de Detenção before being acquitted, transferred to a different penal facility, or deported, an astonishingly heterogeneous group of detainees interacted with each other and with agents of the state. Ultimately, I argue, detainees' experiences in the city jail provided them with a civic education of sorts; in this setting, inmates—and indirectly their families and associates outside the jail—learned not only how to navigate the criminal justice system but also, more generally, the informal and formal rules that governed their society. Going beyond the assumption that the incarcerated were socially "dead," this article seeks to contribute an understanding of the social ripple effects of informal judicial and policing procedures in urbanizing, post-abolition Brazil in the nineteenth and twentieth centuries.	
10.2307/27696525	10.2307/27696525	"We Had Carding": Hospitable Card Play and Polite Domestic Sociability among the Middling Sort in Eighteenth-Century England	Janet E. Mullin	Journal of Social History	42	4	2009-07-01T00:00:00Z	pp. 989-1008	Oxford University Press	fla		EnglandŠs eighteenth century snapped and fizzed with novelty: new trade routes, new entertainments, and a newly wealthy merchant/professional class who suddenly had the means and the time to enjoy them all. A new leisure culture evolved, on of gentility and politeness, of ease and good company, and the rising middle classes were eager to sample its many delights. Of these lures, cards and their attendant wagers were among the most fashionable and the most daring: high-living aristocrats, playing to all hours and losing vast sums, had linked card games with irresponsibility and immorality. Both were death to trade and profession: how could the middling sort possibly circle this enticing flame and yet keep their wings unsigned? This paper explores the many ways in which this varied but slowly coalescing group adapted card play, including gaming at cards, to suit their own patterns of home-based hospitality. In taming this particular beast, middling hosts and guests exploited its potential for forming and strengthening neighbourly and professional bonds. Throughout this process, the emerging priorities of these men and women, at once vulnerable to the eddies of oceans and markets, are consistent. For the middling sort, genteel sociability and restraint partnered one another.	
10.2307/40542848	10.2307/40542848	Putnam, Dennett, and Others: Philosophical Resources for the World Historian	John E. Wills Jr.	Journal of World History	20	4	2009-12-01T00:00:00Z	pp. 491-522	University of Hawai'i Press	fla		This article presents resources for thinking straight about the global history enterprise that have not been widely recognized or discussed by practitioners. Several important philosophers are discussed briefly; fuller attention is given to two. Hilary Putnam presents a nuanced account of human reason and flourishing that goes beyond the factvalue dichotomy that often bedevils our work. Daniel Dennett does much to clarify the nature of the evolutionary processes—natural, social, and cultural—we discuss and the elements of cultural interaction and learning, sometimes called "memes."	
10.2307/40836702	10.2307/40836702	Essays on Race and the Persistence of Economic Inequality	Melinda Miller	The Journal of Economic History	70	2	2010-06-01T00:00:00Z	pp. 468-472	Cambridge University Press, Economic History Association	fla			
10.2307/40542757	10.2307/40542757	Plants and Progress: Rethinking the Islamic Agricultural Revolution	Michael Decker	Journal of World History	20	2	2009-06-01T00:00:00Z	pp. 187-206	University of Hawai'i Press	fla		Since it was first proposed in the 1970s, the concept of an Islamic agricultural revolution, in which new plants and techniques spread rapidly from east to west and transformed agriculture in the Mediterranean basin, has gained widespread acceptance. Based on an investigation of a sample of plants, the present article argues that changes in farming attributed to the era of classical Islam were far more complex and distended than previously acknowledged. This casts doubt on the validity of the theory of a medieval "green revolution" and calls for a reexamination of its fundamental tenets.	
10.2307/40864440	10.2307/40864440	WHO SUFFERED FROM THE CRISIS OF HISTORICISM? A DUTCH EXAMPLE	HERMAN PAUL	History and Theory	49	2	2010-05-01T00:00:00Z	pp. 169-193	Wesleyan University, Wiley	fla		Was the crisis of historicism an exclusively German affair? Or was it a "narrowly academic crisis," as is sometimes assumed? Answering both questions in the negative, this paper argues that crises of historicism affected not merely intellectual elites, but even working-class people, not only in Germany, but also in the Netherlands. With an elaborated case study, the article shows that Dutch "neo-Calvinist" Protestants from the 1930s onward experienced their own crisis of historicism. For a variety of reasons, this religious subgroup came to experience a collapse of its "historicist" worldview. Following recent German scholarship, the paper argues that this historicism was not a matter of Rankean historical methods, but of "historical identifications," or modes of identity formation in which historical narratives played crucial roles. Based on this Dutch case study, then, the article develops two arguments. In a quantitative mode, it argues that more and different people suffered from the crisis of historicism than is usually assumed. In addition, it offers a qualitative argument: that the crisis was located especially among groups that derived their identity from "historical identifications." Those who suffered most from the crisis of historicism were those who understood themselves as embedded in narratives that connected past, present, and future in such a way as to offer identity in historical terms.	
10.2307/27771526	10.2307/27771526	Turning qualitative into quantitative evidence: a well-used method made explicit	A. W. CARUS, SHEILAGH OGILVIE	The Economic History Review	62	4	2009-11-01T00:00:00Z	pp. 893-925	Economic History Society, Wiley	fla		Many historians reject quantitative methods as inappropriate to understanding past societies. This article argues that no sharp distinction between qualitative and quantitative concepts can be drawn, as almost any concept used to describe a past society is implicitly quantitative. Many recent advances in understanding have been achieved by deriving quantitative evidence from qualitative evidence, using the two dialectically, and indexing them against other quantitative findings from the same population. We show that this triangulation method can be extended to many apparently qualitative sources. Despite its successes, die potential of turning qualitative into quantitative evidence has only just begun to be exploited.	
10.2307/20543006	10.2307/20543006	Gentlemanly Capitalism Revisited: A Case Study of the Underpricing of Initial Public Offerings on the London Stock Exchange, 1946-86	David Chambers	The Economic History Review	62	s1	2009-08-01T00:00:00Z	pp. 31-56	Economic History Society, Wiley	fla		Allegations of British capital market failure are numerous, but frequently contentious. This paper revisits the literature by highlighting the post-1945 market for initial public offerings (IPOs) as a clear instance of capital market failure. Despite the tender method delivering substantially lower underpricing than the traditional fixed-price offer method, it was adopted by only one in 10 firms going public. This missed opportunity cost issuing firms between £1.7 billion and £3.5 billion in real proceeds forgone between 1960 and 1986, excluding privatizations, and was symptomatic of a lack of competition in equity underwriting before Big Bang.	
10.2307/20685348	10.2307/20685348	"THE MOST POPULAR UNPOPULAR MAN IN BASEBALL": BASEBALL FANS AND TY COBB IN THE EARLY 20TH CENTURY	Steve Tripp	Journal of Social History	43	1	2009-10-01T00:00:00Z	pp. 67-87	Oxford University Press	fla		This essay deciphers the complexities of early twentieth century American male sports spectator behavior by examining how baseball fans responded to one of the most controversial athletes of the early 20th century—Ty Cobb. By exploring the ways in which fans interpreted Cobb's fierce style of play, this essay argues baseball fans were active agents in the early stages of the emerging mass culture. Though they went to the ballpark for escape and release, fans responded to events on the field in ways that gave these events personal meaning. By cheering and booing, that is to say endorsing some behaviors and censuring others, early 20th century baseball fans projected their collective concerns about changing conceptions of masculinity onto the ball field. Specifically, they looked to stars like Cobb for evidence of ideal manhood. By their active participation in the game, fans tested Cobb, challenging him to display those attributes of manhood that they valued the most—especially that quality of manhood that they called nerve. More times than not, Cobb succeeded and thus became their hero—the personification of their hopes and dreams amidst the changing conceptions of manhood in the early 20th century.	
10.2307/25621445	10.2307/25621445	The Evidence of Sight	Julia Adeney Thomas	History and Theory	48	4	2009-12-01T00:00:00Z	pp. 151-168	Wesleyan University, Wiley	fla		In The Archaeology of Knowledge, Michel Foucault focuses on excavating discursive formations, but he acknowledges that a pre-discursive reality, "the enigmatic treasure of 'things' anterior to discourse," also exists. This divide between the pre-discursive and the discursive is straddled, I argue, by photographs as historians use them. The reason for photography's dual capacity lies with the complex nature of sight, which is both precognitive (primarily so, as neuroscience demonstrates), and also culturally encoded. Historians most commonly rely on mute sensuality; they place photographs in books with little comment, implying that some form of unmediated recognition is possible. Used in this way, photographs cannot serve as the basis for new analyses but may underscore the affective stance of historians toward their topics. Less commonly, historians interrogate photographs much like texts, locating them within the discourses through which they emerged. This strategy treats the experience of sight, in Joan Scott's words, as "an interpretation that needs to be interpreted." Photographs seen as discursive objects may provide understanding of past political and social relations, but we lose any assurance that we can recognize and intuitively understand their subjects. In short, we risk blindness. I explore these two fundamentally different strategies for approaching photographs, using the concepts of recognition and excavation to examine an image made in 1946 by Japanese photographer Hayashi Tadahiko. Photographs, I argue, expose our dual relationship with the past, both visceral and cultural.	
10.2307/25621453	10.2307/25621453	The Letter Kills: On Some Implications of 2 Corinthians 3:6	Carlo Ginzburg	History and Theory	49	1	2010-02-01T00:00:00Z	pp. 71-89	Wesleyan University, Wiley	fla		The paper focuses on an argument put forward by Augustine in his De doctrina christiana: there are passages in the Bible that need to be read in a literal, contextual, and ultimately rhetorical perspective. This approach to the Bible (usually overshadowed by Augustine's own parallel emphasis on the importance of allegory) was needed to deal with customs—for instance the patriarchs' polygamy—that had to be evaluated, Augustine argued, according to standards different from those prevailing in the present day. This need inspired Augustine to utter some sharp remarks on the need to avoid (as we would say today) ethnocentric, anachronistic projections into the Biblical text. The long-term impact of Augustine's argument was profound. The emphasis on the letter played a significant role in the exchanges between Christian and Jewish medieval readings of the Bible, which affected Nicholas of Lyra's influential commentary (Postilla). The same tradition may have contributed to Valla's and Karlstadt's audacious hermeneutic remarks on the Biblical canon, which covertly or openly focused on contradictions in the Biblical text, questioning the role of Moses as author of Deuteronomy. Traces of those discussions can be detected in Spinoza's Tractatus theologico-politicus. The paper suggests that the emphasis on a literal, contextual reading of the Bible provided a model for secular reading in general. The possible role of this model in the aggressive encounter between Europe and alien cultures is a matter of speculation.	
10.2307/40661824	10.2307/40661824	The Incorporation of American Feminism: Suffragists and the Postbellum Lyceum	Lisa Tetrault	The Journal of American History	96	4	2010-03-01T00:00:00Z	pp. 1027-1056	Organization of American Historians	fla			
10.2307/40865690	10.2307/40865690	PRESBYTERIANISM, SECULARIZATION, AND SCOTTISH POLITICS AFTER THE REVOLUTION OF 1688-1690	ALASDAIR RAFFE	The Historical Journal	53	2	2010-06-01T00:00:00Z	pp. 317-337	Cambridge University Press	fla		This article assesses the significance of Presbyterian ideas of church government in Scottish politics after the revolution of 1688-90. While recent historians have revised our understanding of Scottish politics in this penod, they have mostly overlooked debates concerning religious authonty. The article focuses on what contemporarìes called the 'intrinsic right' of the church: its claim to independent authonty in spintual matters and ecclesiastical administration. The religious settlement 1690 gave control of the kirk to clergy who endorsed divine rìght Presbyterianism, believed in the binding force of the National Covenant (1638) and the Solemn League and Covenant (1643), and sought to uphold the intrinsic nght. An ambiguous legal situation, the criticisms of episcopalian clergy and politicians, and the crown's religious policies helped to make the Presbyterians' ecclesiological claims a source of instability in Scottish politics. Meetings of the general assembly and, after 1707, the appointment of national fast and thanksgiving days were particularly likely to spark controversy. More broadly, the article questions two narratives of secularization assumed by many previous scholars. It argues that Scottish politics was not differentiated from religious controversy in this period, and that historians have exaggerated the pace of liberalization in Scottish Presbyterian thought.	
